Title,City,Date,Company Name,Salary,Company Website,Source,Job Type,Location,Job Link
Senior Python Developer,Bexley,2021-04-11 13:41:25.047090,Anson McCade,"GBP85000 - GBP90000 per annum + 10% Bonus, Pension, Medical",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Senior_Python_Developer.id08156345
Software Developer - Python - React,Bexley,2021-04-11 13:41:25.051294,Anson McCade,GBP50000 - GBP65000 per annum + Benefits listed in ad,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Software_Developer_-_Python_-_React.id10657364
Quant Developer - Macro Hedge Fund/Buy Side - (Python/C++),Bexley,2021-04-11 13:41:25.055564,Anson McCade,plus bonus / benefits,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Quant_Developer_-_Macro_Hedge_FundBuy_Side_-_PythonC.id10560715
Software Developer (Python),Bexley,2021-04-11 13:41:25.114346,Anson McCade,Negotiable,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Software_Developer_Python.id10555662
C# Python Developer – Pricing and Risk Analytics,Bexley,2021-04-11 13:41:25.118833,Fourier Ltd,"150,000 - 350,000",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-C_Python_Developer_%E2%80%93_Pricing_and_Risk_Analytics.id10580382
Python Quant Developer,Bexley,2021-04-11 13:41:25.119769,Fourier Ltd,"80,000 - 140,000",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Quant_Developer.id09996036
Python data Engineer,Bexley,2021-04-11 13:41:25.120057,Fourier Ltd,"150,000 - 250,000 + bonus & benefits",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_data_Engineer.id09996562
Senior Python Developer,Bexley,2021-04-11 13:41:25.120199,Fourier Ltd,"70,000 - 100,000",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Senior_Python_Developer.id09996844
Python Data Engineer,Bexley,2021-04-11 13:41:25.120345,Fourier Ltd,"150,000 - 250,000 + bonus & benefits",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Data_Engineer.id09997109
Python Data Engineer,Bexley,2021-04-11 13:41:25.120489,Fourier Ltd,"130,000 - 200,000",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Data_Engineer.id09997316
Python Developer,Bexley,2021-04-11 13:41:25.120635,Fourier Ltd,"£80,000 - £130,000 + Bonus + Benefits",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Developer.id09997318
Senior Python Developer,Bexley,2021-04-11 13:41:25.120777,Fourier Ltd,"80,000 - 140,000",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Senior_Python_Developer.id09997439
Python Trading Operations,Bexley,2021-04-11 13:41:25.121063,Fourier Ltd,"£100,000 - £150,000",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Trading_Operations.id09997826
Python Quant Developer,Bexley,2021-04-11 13:41:25.121208,Fourier Ltd,"150,000 - 250,000 + bonus & benefits",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Quant_Developer.id09997909
Python Engineer,Bexley,2021-04-11 13:41:25.121517,Fourier Ltd,"£100,000 - £200,000 + Bonus + Benefits",Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Engineer.id09999017
Risk Analyst - Counterparty Credit Risk - Python,Bexley,2021-04-11 13:41:25.137201,TEKsystems,GBP300 - GBP400 per day,Not Available,efinancialcareers.co.uk,"Contract, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Risk_Analyst_-_Counterparty_Credit_Risk_-_Python.id10724422
Data Developer (Python)- Prop Market Maker,Bexley,2021-04-11 13:41:25.142727,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Data_Developer_Python-_Prop_Market_Maker.id10473821
Algo Hedge Fund // Go Tech- Kubernetes | Go | C++ | Python | Java,Bexley,2021-04-11 13:41:25.143010,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Algo_Hedge_Fund__Go_Tech-_Kubernetes__Go__C__Python__Java.id10495346
Senior Software Engineer - London- Python | Flask | AWS | Elasticsearch,Bexley,2021-04-11 13:41:25.145592,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Senior_Software_Engineer_-_London-_Python__Flask__AWS__Elasticsearch.id10495330
Python Data Engineer- Market-Leading Global Hedge Fund,Bexley,2021-04-11 13:41:25.146173,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Data_Engineer-_Market-Leading_Global_Hedge_Fund.id10495292
Software Engineer (Python/Java/C++)- Global Quant Firm,Bexley,2021-04-11 13:41:25.146314,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Software_Engineer_PythonJavaC-_Global_Quant_Firm.id10495293
Quantitative Developer (Python)- Global Quant Firm,Bexley,2021-04-11 13:41:25.147030,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Quantitative_Developer_Python-_Global_Quant_Firm.id10495296
Python Engineer - HFT- Leading Quant Fund | London,Bexley,2021-04-11 13:41:25.147176,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Engineer_-_HFT-_Leading_Quant_Fund__London.id10495298
Python Developer- Rapidly Expanding Fintech,Bexley,2021-04-11 13:41:25.148633,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Developer-_Rapidly_Expanding_Fintech.id10495271
Python Software Engineer- Equities Fund,Bexley,2021-04-11 13:41:25.149360,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Software_Engineer-_Equities_Fund.id10495276
Python Developer - City of London- Growing Fintech,Bexley,2021-04-11 13:41:25.151739,Oxford Knight,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Developer_-_City_of_London-_Growing_Fintech.id10495250
Software Engineer (Go/Python),Bexley,2021-04-11 13:41:25.153340,IHS Markit,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Software_Engineer_GoPython.id10723801
Senior/Lead Developer -Java and/or Python - 6 mth FTC -London,Bexley,2021-04-11 13:41:25.167593,McCabe & Barton,£80-110k (pro rata) + 20% bonus + bens,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-SeniorLead_Developer_-Java_andor_Python_-_6_mth_FTC_-London.id09726768
Python Developer,Bexley,2021-04-11 13:41:25.168602,Huxley Banking & Financial Services,Negotiable,Not Available,efinancialcareers.co.uk,"Contract, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Developer.id10721404
Senior Software Engineer (Go/Python) - Enterprise Knowledge Graph,Bexley,2021-04-11 13:41:25.201132,IHS Markit,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Senior_Software_Engineer_GoPython_-_Enterprise_Knowledge_Graph.id10716782
Python Developer,Bexley,2021-04-11 13:41:25.207357,UBS,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Developer.id10679181
Senior Python Quant Developer,Bexley,2021-04-11 13:41:25.207937,Schroders Investment Management,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Senior_Python_Quant_Developer.id10673530
Market Risk Analyst (R or Python),Bexley,2021-04-11 13:41:25.220985,Hays Financial Markets,GBP600.00 - GBP700.00 per day,Not Available,efinancialcareers.co.uk,"Temporary, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Market_Risk_Analyst_R_or_Python.id10711358
Python Developer - Outside IR 35,Bexley,2021-04-11 13:41:25.221125,Non-disclosed,up to £650/Day,Not Available,efinancialcareers.co.uk,"Contract, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Developer_-_Outside_IR_35.id10711360
Python Quant Developer,Bexley,2021-04-11 13:41:25.225063,Selby Jennings,GBP90000 - GBP120000 per annum + bonus + benefits,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Quant_Developer.id09712130
Python / JavaScript / Full Stack Developer – World Class Hedge Fund – Brand-New Front Office Trading System,Bexley,2021-04-11 13:41:25.228281,Stanford Black,Competitive,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python__JavaScript__Full_Stack_Developer_%E2%80%93_World_Class_Hedge_Fund_%E2%80%93_Brand-New_Front_Office_Trading_System.id10710253
Python Engineer Needed / World Leading Asset-Manager / Brand-New Front Office Trading System,Bexley,2021-04-11 13:41:25.239824,Stanford Black,Competitve,Not Available,efinancialcareers.co.uk,"Permanent, Full time","London, United Kingdom",https://www.efinancialcareers.co.uk/jobs-UK-London-Python_Engineer_Needed__World_Leading_Asset-Manager__Brand-New_Front_Office_Trading_System.id10705823
